id	name	other_data
1001	Autauga	State
1003	Baldwin	State
1005	Barbour	State
1007	Bibb	State
1009	Blount	State
1011	Bullock	State
1013	Butler	State
1015	Calhoun	State
1017	Chambers	State
1019	Cherokee	State
1021	Chilton	State
1023	Choctaw	State
1025	Clarke	State
1027	Clay	State
1029	Cleburne	State
1031	Coffee	State
1033	Colbert	State
1035	Conecuh	State
1037	Coosa	State
1039	Covington	State
1041	Crenshaw	State
1043	Cullman	State
1045	Dale	State
1047	Dallas	State
1049	De Kalb	State
1051	Elmore	State
1053	Escambia	State
1055	Etowah	State
1057	Fayette	State
1059	Franklin	State
1061	Geneva	State
1063	Greene	State
1065	Hale	State
1067	Henry	State
1069	Houston	State
1071	Jackson	State
1073	Jefferson	State
1075	Lamar	State
1077	Lauderdale	State
1079	Lawrence	State
1081	Lee	State
1083	Limestone	State
1085	Lowndes	State
1087	Macon	State
1089	Madison	State
1091	Marengo	State
1093	Marion	State
1095	Marshall	State
1097	Mobile	State
1099	Monroe	State
1101	Montgomery	State
1103	Morgan	State
1105	Perry	State
1107	Pickens	State
1109	Pike	State
1111	Randolph	State
1113	Russell	State
1115	St. Clair	State
1117	Shelby	State
1119	Sumter	State
1121	Talladega	State
1123	Tallapoosa	State
1125	Tuscaloosa	State
1127	Walker	State
1129	Washington	State
1131	Wilcox	State
1133	Winston	State
2000	Alaska	State
2013	Aleutians East	State
2016	Aleutians West	State
2020	Anchorage	State
2050	Bethel	State
2060	Bristol Bay	State
2068	Denali	State
2070	Dillingham	State
2090	Fairbanks North Star	State
2100	Haines	State
2110	Juneau	State
2122	Kenai Peninsula	State
2130	Ketchikan Gateway	State
2150	Kodiak Island	State
2164	Lake and Peninsula	State
2170	Matanuska-Susitna	State
2180	Nome	State
2185	North Slope	State
2188	Northwest Arctic	State
2201	Prince of Wales-Outer Ketchikan	State
2220	Sitka	State
2232	Skagway-Hoonah-Angoon	State
2240	Southeast Fairbanks	State
2261	Valdez-Cordova	State
2270	Wade Hampton	State
2280	Wrangell-Petersburg	State
2282	Yakutat	State
2290	Yukon-Koyukuk	State
4000	Arizona	State
4001	Apache	State
4003	Cochise	State
4005	Coconino	State
4007	Gila	State
4009	Graham	State
4011	Greenlee	State
4012	La Paz	State
4013	Maricopa	State
4015	Mohave	State
4017	Navajo	State
4019	Pima	State
4021	Pinal	State
4023	Santa Cruz	State
4025	Yavapai	State
4027	Yuma	State
5000	Arkansas	State
5001	Arkansas	State
5003	Ashley	State
5005	Baxter	State
5007	Benton	State
5009	Boone	State
5011	Bradley	State
5013	Calhoun	State
5015	Carroll	State
5017	Chicot	State
5019	Clark	State
5021	Clay	State
5023	Cleburne	State
5025	Cleveland	State
5027	Columbia	State
5029	Conway	State
5031	Craighead	State
5033	Crawford	State
5035	Crittenden	State
5037	Cross	State
5039	Dallas	State
5041	Desha	State
5043	Drew	State
5045	Faulkner	State
5047	Franklin	State
5049	Fulton	State
5051	Garland	State
5053	Grant	State
5055	Greene	State
5057	Hempstead	State
5059	Hot Spring	State
5061	Howard	State
5063	Independence	State
5065	Izard	State
5067	Jackson	State
5069	Jefferson	State
5071	Johnson	State
5073	Lafayette	State
5075	Lawrence	State
5077	Lee	State
5079	Lincoln	State
5081	Little River	State
5083	Logan	State
5085	Lonoke	State
5087	Madison	State
5089	Marion	State
5091	Miller	State
5093	Mississippi	State
5095	Monroe	State
5097	Montgomery	State
5099	Nevada	State
5101	Newton	State
5103	Ouachita	State
5105	Perry	State
5107	Phillips	State
5109	Pike	State
5111	Poinsett	State
5113	Polk	State
5115	Pope	State
5117	Prairie	State
5119	Pulaski	State
5121	Randolph	State
5123	St. Francis	State
5125	Saline	State
5127	Scott	State
5129	Searcy	State
5131	Sebastian	State
5133	Sevier	State
5135	Sharp	State
5137	Stone	State
5139	Union	State
5141	Van Buren	State
5143	Washington	State
5145	White	State
5147	Woodruff	State
5149	Yell	State
6000	California	State
6001	Alameda	State
6003	Alpine	State
6005	Amador	State
6007	Butte	State
6009	Calaveras	State
6011	Colusa	State
6013	Contra Costa	State
6015	Del Norte	State
6017	El Dorado	State
6019	Fresno	State
6021	Glenn	State
6023	Humboldt	State
6025	Imperial	State
6027	Inyo	State
6029	Kern	State
6031	Kings	State
6033	Lake	State
6035	Lassen	State
6037	Los Angeles	State
6039	Madera	State
6041	Marin	State
6043	Mariposa	State
6045	Mendocino	State
6047	Merced	State
6049	Modoc	State
6051	Mono	State
6053	Monterey	State
6055	Napa	State
6057	Nevada	State
6059	Orange	State
6061	Placer	State
6063	Plumas	State
6065	Riverside	State
6067	Sacramento	State
6069	San Benito	State
6071	San Bernardino	State
6073	San Diego	State
6075	San Francisco	State
6077	San Joaquin	State
6079	San Luis Obispo	State
6081	San Mateo	State
6083	Santa Barbara	State
6085	Santa Clara	State
6087	Santa Cruz	State
6089	Shasta	State
6091	Sierra	State
6093	Siskiyou	State
6095	Solano	State
6097	Sonoma	State
6099	Stanislaus	State
6101	Sutter	State
6103	Tehama	State
6105	Trinity	State
6107	Tulare	State
6109	Tuolumne	State
6111	Ventura	State
6113	Yolo	State
6115	Yuba	State
8000	Colorado	State
8001	Adams	State
8003	Alamosa	State
8005	Arapahoe	State
8007	Archuleta	State
8009	Baca	State
8011	Bent	State
8013	Boulder	State
8015	Chaffee	State
8017	Cheyenne	State
8019	Clear Creek	State
8021	Conejos	State
8023	Costilla	State
8025	Crowley	State
8027	Custer	State
8029	Delta	State
8031	Denver	State
8033	Dolores	State
8035	Douglas	State
8037	Eagle	State
8039	Elbert	State
8041	El Paso	State
8043	Fremont	State
8045	Garfield	State
8047	Gilpin	State
8049	Grand	State
8051	Gunnison	State
8053	Hinsdale	State
8055	Huerfano	State
8057	Jackson	State
8059	Jefferson	State
8061	Kiowa	State
8063	Kit Carson	State
8065	Lake	State
8067	La Plata	State
8069	Larimer	State
8071	Las Animas	State
8073	Lincoln	State
8075	Logan	State
8077	Mesa	State
8079	Mineral	State
8081	Moffat	State
8083	Montezuma	State
8085	Montrose	State
8087	Morgan	State
8089	Otero	State
8091	Ouray	State
8093	Park	State
8095	Phillips	State
8097	Pitkin	State
8099	Prowers	State
8101	Pueblo	State
8103	Rio Blanco	State
8105	Rio Grande	State
8107	Routt	State
8109	Saguache	State
8111	San Juan	State
8113	San Miguel	State
8115	Sedgwick	State
8117	Summit	State
8119	Teller	State
8121	Washington	State
8123	Weld	State
8125	Yuma	State
9000	Connecticut	State
9001	Fairfield	State
9003	Hartford	State
9005	Litchfield	State
9007	Middlesex	State
9009	New Haven	State
9011	New London	State
9013	Tolland	State
9015	Windham	State
10000	Delaware	State
10001	Kent	State
10003	New Castle	State
10005	Sussex	State
11000	District of Columbia	State
11001	District of Columbia	State
12000	Florida	State
12001	Alachua	State
12003	Baker	State
12005	Bay	State
12007	Bradford	State
12009	Brevard	State
12011	Broward	State
12013	Calhoun	State
12015	Charlotte	State
12017	Citrus	State
12019	Clay	State
12021	Collier	State
12023	Columbia	State
12025	Dade	State
12027	De Soto	State
12029	Dixie	State
12031	Duval	State
12033	Escambia	State
12035	Flagler	State
12037	Franklin	State
12039	Gadsden	State
12041	Gilchrist	State
12043	Glades	State
12045	Gulf	State
12047	Hamilton	State
12049	Hardee	State
12051	Hendry	State
12053	Hernando	State
12055	Highlands	State
12057	Hillsborough	State
12059	Holmes	State
12061	Indian River	State
12063	Jackson	State
12065	Jefferson	State
12067	Lafayette	State
12069	Lake	State
12071	Lee	State
12073	Leon	State
12075	Levy	State
12077	Liberty	State
12079	Madison	State
12081	Manatee	State
12083	Marion	State
12085	Martin	State
12087	Monroe	State
12089	Nassau	State
12091	Okaloosa	State
12093	Okeechobee	State
12095	Orange	State
12097	Osceola	State
12099	Palm Beach	State
12101	Pasco	State
12103	Pinellas	State
12105	Polk	State
12107	Putnam	State
12109	St. Johns	State
12111	St. Lucie	State
12113	Santa Rosa	State
12115	Sarasota	State
12117	Seminole	State
12119	Sumter	State
12121	Suwannee	State
12123	Taylor	State
12125	Union	State
12127	Volusia	State
12129	Wakulla	State
12131	Walton	State
12133	Washington	State
13000	Georgia	State
13001	Appling	State
13003	Atkinson	State
13005	Bacon	State
13007	Baker	State
13009	Baldwin	State
13011	Banks	State
13013	Barrow	State
13015	Bartow	State
13017	Ben Hill	State
13019	Berrien	State
13021	Bibb	State
13023	Bleckley	State
13025	Brantley	State
13027	Brooks	State
13029	Bryan	State
13031	Bulloch	State
13033	Burke	State
13035	Butts	State
13037	Calhoun	State
13039	Camden	State
13043	Candler	State
13045	Carroll	State
13047	Catoosa	State
13049	Charlton	State
13051	Chatham	State
13053	Chattahoochee	State
13055	Chattooga	State
13057	Cherokee	State
13059	Clarke	State
13061	Clay	State
13063	Clayton	State
13065	Clinch	State
13067	Cobb	State
13069	Coffee	State
13071	Colquitt	State
13073	Columbia	State
13075	Cook	State
13077	Coweta	State
13079	Crawford	State
13081	Crisp	State
13083	Dade	State
13085	Dawson	State
13087	Decatur	State
13089	De Kalb	State
13091	Dodge	State
13093	Dooly	State
13095	Dougherty	State
13097	Douglas	State
13099	Early	State
13101	Echols	State
13103	Effingham	State
13105	Elbert	State
13107	Emanuel	State
13109	Evans	State
13111	Fannin	State
13113	Fayette	State
13115	Floyd	State
13117	Forsyth	State
13119	Franklin	State
13121	Fulton	State
13123	Gilmer	State
13125	Glascock	State
13127	Glynn	State
13129	Gordon	State
13131	Grady	State
13133	Greene	State
13135	Gwinnett	State
13137	Habersham	State
13139	Hall	State
13141	Hancock	State
13143	Haralson	State
13145	Harris	State
13147	Hart	State
13149	Heard	State
13151	Henry	State
13153	Houston	State
13155	Irwin	State
13157	Jackson	State
13159	Jasper	State
13161	Jeff Davis	State
13163	Jefferson	State
13165	Jenkins	State
13167	Johnson	State
13169	Jones	State
13171	Lamar	State
13173	Lanier	State
13175	Laurens	State
13177	Lee	State
13179	Liberty	State
13181	Lincoln	State
13183	Long	State
13185	Lowndes	State
13187	Lumpkin	State
13189	McDuffie	State
13191	McIntosh	State
13193	Macon	State
13195	Madison	State
13197	Marion	State
13199	Meriwether	State
13201	Miller	State
13205	Mitchell	State
13207	Monroe	State
13209	Montgomery	State
13211	Morgan	State
13213	Murray	State
13215	Muscogee	State
13217	Newton	State
13219	Oconee	State
13221	Oglethorpe	State
13223	Paulding	State
13225	Peach	State
13227	Pickens	State
13229	Pierce	State
13231	Pike	State
13233	Polk	State
13235	Pulaski	State
13237	Putnam	State
13239	Quitman	State
13241	Rabun	State
13243	Randolph	State
13245	Richmond	State
13247	Rockdale	State
13249	Schley	State
13251	Screven	State
13253	Seminole	State
13255	Spalding	State
13257	Stephens	State
13259	Stewart	State
13261	Sumter	State
13263	Talbot	State
13265	Taliaferro	State
13267	Tattnall	State
13269	Taylor	State
13271	Telfair	State
13273	Terrell	State
13275	Thomas	State
13277	Tift	State
13279	Toombs	State
13281	Towns	State
13283	Treutlen	State
13285	Troup	State
13287	Turner	State
13289	Twiggs	State
13291	Union	State
13293	Upson	State
13295	Walker	State
13297	Walton	State
13299	Ware	State
13301	Warren	State
13303	Washington	State
13305	Wayne	State
13307	Webster	State
13309	Wheeler	State
13311	White	State
13313	Whitfield	State
13315	Wilcox	State
13317	Wilkes	State
13319	Wilkinson	State
13321	Worth	State
15000	Hawaii	State
15001	Hawaii	State
15003	Honolulu	State
15005	Kalawao	State
15007	Kauai	State
15009	Maui	State
16000	Idaho	State
16001	Ada	State
16003	Adams	State
16005	Bannock	State
16007	Bear Lake	State
16009	Benewah	State
16011	Bingham	State
16013	Blaine	State
16015	Boise	State
16017	Bonner	State
16019	Bonneville	State
16021	Boundary	State
16023	Butte	State
16025	Camas	State
16027	Canyon	State
16029	Caribou	State
16031	Cassia	State
16033	Clark	State
16035	Clearwater	State
16037	Custer	State
16039	Elmore	State
16041	Franklin	State
16043	Fremont	State
16045	Gem	State
16047	Gooding	State
16049	Idaho	State
16051	Jefferson	State
16053	Jerome	State
16055	Kootenai	State
16057	Latah	State
16059	Lemhi	State
16061	Lewis	State
16063	Lincoln	State
16065	Madison	State
16067	Minidoka	State
16069	Nez Perce	State
16071	Oneida	State
16073	Owyhee	State
16075	Payette	State
16077	Power	State
16079	Shoshone	State
16081	Teton	State
16083	Twin Falls	State
16085	Valley	State
16087	Washington	State
17000	Illinois	State
17001	Adams	State
17003	Alexander	State
17005	Bond	State
17007	Boone	State
17009	Brown	State
17011	Bureau	State
17013	Calhoun	State
17015	Carroll	State
17017	Cass	State
17019	Champaign	State
17021	Christian	State
17023	Clark	State
17025	Clay	State
17027	Clinton	State
17029	Coles	State
17031	Cook	State
17033	Crawford	State
17035	Cumberland	State
17037	DeKalb	State
17039	De Witt	State
17041	Douglas	State
17043	DuPage	State
17045	Edgar	State
17047	Edwards	State
17049	Effingham	State
17051	Fayette	State
17053	Ford	State
17055	Franklin	State
17057	Fulton	State
17059	Gallatin	State
17061	Greene	State
17063	Grundy	State
17065	Hamilton	State
17067	Hancock	State
17069	Hardin	State
17071	Henderson	State
17073	Henry	State
17075	Iroquois	State
17077	Jackson	State
17079	Jasper	State
17081	Jefferson	State
17083	Jersey	State
17085	Jo Daviess	State
17087	Johnson	State
17089	Kane	State
17091	Kankakee	State
17093	Kendall	State
17095	Knox	State
17097	Lake	State
17099	La Salle	State
17101	Lawrence	State
17103	Lee	State
17105	Livingston	State
17107	Logan	State
17109	McDonough	State
17111	McHenry	State
17113	McLean	State
17115	Macon	State
17117	Macoupin	State
17119	Madison	State
17121	Marion	State
17123	Marshall	State
17125	Mason	State
17127	Massac	State
17129	Menard	State
17131	Mercer	State
17133	Monroe	State
17135	Montgomery	State
17137	Morgan	State
17139	Moultrie	State
17141	Ogle	State
17143	Peoria	State
17145	Perry	State
17147	Piatt	State
17149	Pike	State
17151	Pope	State
17153	Pulaski	State
17155	Putnam	State
17157	Randolph	State
17159	Richland	State
17161	Rock Island	State
17163	St. Clair	State
17165	Saline	State
17167	Sangamon	State
17169	Schuyler	State
17171	Scott	State
17173	Shelby	State
17175	Stark	State
17177	Stephenson	State
17179	Tazewell	State
17181	Union	State
17183	Vermilion	State
17185	Wabash	State
17187	Warren	State
17189	Washington	State
17191	Wayne	State
17193	White	State
17195	Whiteside	State
17197	Will	State
17199	Williamson	State
17201	Winnebago	State
17203	Woodford	State
18000	Indiana	State
18001	Adams	State
18003	Allen	State
18005	Bartholomew	State
18007	Benton	State
18009	Blackford	State
18011	Boone	State
18013	Brown	State
18015	Carroll	State
18017	Cass	State
18019	Clark	State
18021	Clay	State
18023	Clinton	State
18025	Crawford	State
18027	Daviess	State
18029	Dearborn	State
18031	Decatur	State
18033	De Kalb	State
18035	Delaware	State
18037	Dubois	State
18039	Elkhart	State
18041	Fayette	State
18043	Floyd	State
18045	Fountain	State
18047	Franklin	State
18049	Fulton	State
18051	Gibson	State
18053	Grant	State
18055	Greene	State
18057	Hamilton	State
18059	Hancock	State
18061	Harrison	State
18063	Hendricks	State
18065	Henry	State
18067	Howard	State
18069	Huntington	State
18071	Jackson	State
18073	Jasper	State
18075	Jay	State
18077	Jefferson	State
18079	Jennings	State
18081	Johnson	State
18083	Knox	State
18085	Kosciusko	State
18087	Lagrange	State
18089	Lake	State
18091	La Porte	State
18093	Lawrence	State
18095	Madison	State
18097	Marion	State
18099	Marshall	State
18101	Martin	State
18103	Miami	State
18105	Monroe	State
18107	Montgomery	State
18109	Morgan	State
18111	Newton	State
18113	Noble	State
18115	Ohio	State
18117	Orange	State
18119	Owen	State
18121	Parke	State
18123	Perry	State
18125	Pike	State
18127	Porter	State
18129	Posey	State
18131	Pulaski	State
18133	Putnam	State
18135	Randolph	State
18137	Ripley	State
18139	Rush	State
18141	St. Joseph	State
18143	Scott	State
18145	Shelby	State
18147	Spencer	State
18149	Starke	State
18151	Steuben	State
18153	Sullivan	State
18155	Switzerland	State
18157	Tippecanoe	State
18159	Tipton	State
18161	Union	State
18163	Vanderburgh	State
18165	Vermillion	State
18167	Vigo	State
18169	Wabash	State
18171	Warren	State
18173	Warrick	State
18175	Washington	State
18177	Wayne	State
18179	Wells	State
18181	White	State
18183	Whitley	State
19000	Iowa	State
19001	Adair	State
19003	Adams	State
19005	Allamakee	State
19007	Appanoose	State
19009	Audubon	State
19011	Benton	State
19013	Black Hawk	State
19015	Boone	State
19017	Bremer	State
19019	Buchanan	State
19021	Buena Vista	State
19023	Butler	State
19025	Calhoun	State
19027	Carroll	State
19029	Cass	State
19031	Cedar	State
19033	Cerro Gordo	State
19035	Cherokee	State
19037	Chickasaw	State
19039	Clarke	State
19041	Clay	State
19043	Clayton	State
19045	Clinton	State
19047	Crawford	State
19049	Dallas	State
19051	Davis	State
19053	Decatur	State
19055	Delaware	State
19057	Des Moines	State
19059	Dickinson	State
19061	Dubuque	State
19063	Emmet	State
19065	Fayette	State
19067	Floyd	State
19069	Franklin	State
19071	Fremont	State
19073	Greene	State
19075	Grundy	State
19077	Guthrie	State
19079	Hamilton	State
19081	Hancock	State
19083	Hardin	State
19085	Harrison	State
19087	Henry	State
19089	Howard	State
19091	Humboldt	State
19093	Ida	State
19095	Iowa	State
19097	Jackson	State
19099	Jasper	State
19101	Jefferson	State
19103	Johnson	State
19105	Jones	State
19107	Keokuk	State
19109	Kossuth	State
19111	Lee	State
19113	Linn	State
19115	Louisa	State
19117	Lucas	State
19119	Lyon	State
19121	Madison	State
19123	Mahaska	State
19125	Marion	State
19127	Marshall	State
19129	Mills	State
19131	Mitchell	State
19133	Monona	State
19135	Monroe	State
19137	Montgomery	State
19139	Muscatine	State
19141	O'Brien	State
19143	Osceola	State
19145	Page	State
19147	Palo Alto	State
19149	Plymouth	State
19151	Pocahontas	State
19153	Polk	State
19155	Pottawattamie	State
19157	Poweshiek	State
19159	Ringgold	State
19161	Sac	State
19163	Scott	State
19165	Shelby	State
19167	Sioux	State
19169	Story	State
19171	Tama	State
19173	Taylor	State
19175	Union	State
19177	Van Buren	State
19179	Wapello	State
19181	Warren	State
19183	Washington	State
19185	Wayne	State
19187	Webster	State
19189	Winnebago	State
19191	Winneshiek	State
19193	Woodbury	State
19195	Worth	State
19197	Wright	State
20000	Kansas	State
20001	Allen	State
20003	Anderson	State
20005	Atchison	State
20007	Barber	State
20009	Barton	State
20011	Bourbon	State
20013	Brown	State
20015	Butler	State
20017	Chase	State
20019	Chautauqua	State
20021	Cherokee	State
20023	Cheyenne	State
20025	Clark	State
20027	Clay	State
20029	Cloud	State
20031	Coffey	State
20033	Comanche	State
20035	Cowley	State
20037	Crawford	State
20039	Decatur	State
20041	Dickinson	State
20043	Doniphan	State
20045	Douglas	State
20047	Edwards	State
20049	Elk	State
20051	Ellis	State
20053	Ellsworth	State
20055	Finney	State
20057	Ford	State
20059	Franklin	State
20061	Geary	State
20063	Gove	State
20065	Graham	State
20067	Grant	State
20069	Gray	State
20071	Greeley	State
20073	Greenwood	State
20075	Hamilton	State
20077	Harper	State
20079	Harvey	State
20081	Haskell	State
20083	Hodgeman	State
20085	Jackson	State
20087	Jefferson	State
20089	Jewell	State
20091	Johnson	State
20093	Kearny	State
20095	Kingman	State
20097	Kiowa	State
20099	Labette	State
20101	Lane	State
20103	Leavenworth	State
20105	Lincoln	State
20107	Linn	State
20109	Logan	State
20111	Lyon	State
20113	McPherson	State
20115	Marion	State
20117	Marshall	State
20119	Meade	State
20121	Miami	State
20123	Mitchell	State
20125	Montgomery	State
20127	Morris	State
20129	Morton	State
20131	Nemaha	State
20133	Neosho	State
20135	Ness	State
20137	Norton	State
20139	Osage	State
20141	Osborne	State
20143	Ottawa	State
20145	Pawnee	State
20147	Phillips	State
20149	Pottawatomie	State
20151	Pratt	State
20153	Rawlins	State
20155	Reno	State
20157	Republic	State
20159	Rice	State
20161	Riley	State
20163	Rooks	State
20165	Rush	State
20167	Russell	State
20169	Saline	State
20171	Scott	State
20173	Sedgwick	State
20175	Seward	State
20177	Shawnee	State
20179	Sheridan	State
20181	Sherman	State
20183	Smith	State
20185	Stafford	State
20187	Stanton	State
20189	Stevens	State
20191	Sumner	State
20193	Thomas	State
20195	Trego	State
20197	Wabaunsee	State
20199	Wallace	State
20201	Washington	State
20203	Wichita	State
20205	Wilson	State
20207	Woodson	State
20209	Wyandotte	State
21000	Kentucky	State
21001	Adair	State
21003	Allen	State
21005	Anderson	State
21007	Ballard	State
21009	Barren	State
21011	Bath	State
21013	Bell	State
21015	Boone	State
21017	Bourbon	State
21019	Boyd	State
21021	Boyle	State
21023	Bracken	State
21025	Breathitt	State
21027	Breckinridge	State
21029	Bullitt	State
21031	Butler	State
21033	Caldwell	State
21035	Calloway	State
21037	Campbell	State
21039	Carlisle	State
21041	Carroll	State
21043	Carter	State
21045	Casey	State
21047	Christian	State
21049	Clark	State
21051	Clay	State
21053	Clinton	State
21055	Crittenden	State
21057	Cumberland	State
21059	Daviess	State
21061	Edmonson	State
21063	Elliott	State
21065	Estill	State
21067	Fayette	State
21069	Fleming	State
21071	Floyd	State
21073	Franklin	State
21075	Fulton	State
21077	Gallatin	State
21079	Garrard	State
21081	Grant	State
21083	Graves	State
21085	Grayson	State
21087	Green	State
21089	Greenup	State
21091	Hancock	State
21093	Hardin	State
21095	Harlan	State
21097	Harrison	State
21099	Hart	State
21101	Henderson	State
21103	Henry	State
21105	Hickman	State
21107	Hopkins	State
21109	Jackson	State
21111	Jefferson	State
21113	Jessamine	State
21115	Johnson	State
21117	Kenton	State
21119	Knott	State
21121	Knox	State
21123	Larue	State
21125	Laurel	State
21127	Lawrence	State
21129	Lee	State
21131	Leslie	State
21133	Letcher	State
21135	Lewis	State
21137	Lincoln	State
21139	Livingston	State
21141	Logan	State
21143	Lyon	State
21145	McCracken	State
21147	McCreary	State
21149	McLean	State
21151	Madison	State
21153	Magoffin	State
21155	Marion	State
21157	Marshall	State
21159	Martin	State
21161	Mason	State
21163	Meade	State
21165	Menifee	State
21167	Mercer	State
21169	Metcalfe	State
21171	Monroe	State
21173	Montgomery	State
21175	Morgan	State
21177	Muhlenberg	State
21179	Nelson	State
21181	Nicholas	State
21183	Ohio	State
21185	Oldham	State
21187	Owen	State
21189	Owsley	State
21191	Pendleton	State
21193	Perry	State
21195	Pike	State
21197	Powell	State
21199	Pulaski	State
21201	Robertson	State
21203	Rockcastle	State
21205	Rowan	State
21207	Russell	State
21209	Scott	State
21211	Shelby	State
21213	Simpson	State
21215	Spencer	State
21217	Taylor	State
21219	Todd	State
21221	Trigg	State
21223	Trimble	State
21225	Union	State
21227	Warren	State
21229	Washington	State
21231	Wayne	State
21233	Webster	State
21235	Whitley	State
21237	Wolfe	State
21239	Woodford	State
22000	Louisiana	State
22001	Acadia	State
22003	Allen	State
22005	Ascension	State
22007	Assumption	State
22009	Avoyelles	State
22011	Beauregard	State
22013	Bienville	State
22015	Bossier	State
22017	Caddo	State
22019	Calcasieu	State
